"Age","Germany_Levin1","Germany_Levin2","Germany_Levin3","Germany_PrItaly","Spain_Levin1","Spain_Levin2","Spain_Levin3","Spain_PrItaly","Italy_Levin1","Italy_Levin2","Italy_Levin3","Italy_PrItaly","France_Levin1","France_Levin2","France_Levin3","France_PrItaly","Sweden_Levin1","Sweden_Levin2","Sweden_Levin3","Sweden_PrItaly","China_Levin1","China_Levin2","China_Levin3","China_PrItaly","Japan_Levin1","Japan_Levin2","Japan_Levin3","Japan_PrItaly","Colombia_Levin1","Colombia_Levin2","Colombia_Levin3","Colombia_PrItaly","Brazil_Levin1","Brazil_Levin2","Brazil_Levin3","Brazil_PrItaly","USA_Levin1","USA_Levin2","USA_Levin3","USA_PrItaly","Brazil_Deaths","China_Deaths","Colombia_Deaths","France_Deaths","Germany_Deaths","Italy_Deaths","Spain_Deaths","Sweden_Deaths","China_Cases","Colombia_Cases","Germany_Cases","Italy_Cases","Japan_Cases","Spain_Cases","Sweden_Cases","USA_Cases","Colombia_NewCases","Germany_NewCases","Italy_NewCases","Japan_NewCases","Spain_NewCases","Sweden_NewCases","USA_NewCases"
50,0.0656497301234738,0.079743452042035,0.0443632780530548,0.100358096589618,0.0630737094704086,0.0776870678664042,0.0417958185908464,0.0979629808699159,0.0671685051251689,0.0811792524698393,0.0457048554591021,0.101863711838925,0.054073004585402,0.0668479581732939,0.0356356511117899,0.085204711340589,0.0541468558279344,0.0672726840652839,0.0354411757494835,0.0860986225658531,0.0670530134062478,0.0857662356656106,0.0423019292964735,0.109699946737013,0.0573073464874875,0.0684602584300708,0.0396190168506192,0.0862852991561793,0.0432726462130579,0.0571599872365725,0.0262339961858044,0.0750924496469348,0.0459177719668985,0.0603263438693509,0.0280189010779789,0.0787946626857932,0.049302205060919,0.0621681040514459,0.0316558991146982,0.0799231974617037,0.0519989391528378,0.0505326947512462,0.0544782389514367,0.016215053377912,0.0124231626314713,0.0124018751213559,0.0116424886212401,0.0106859935951458,0.119168873497657,0.0704418257726695,0.075948810304333,0.088580130669362,0.0678629560091179,0.089299683720439,0.0927872152080721,0.0774668047182139,0.0690410478818942,0.052755252971351,0.102521813901693,0.0659408878929199,0.11509741444312,0.0723967384039567,0.0778454174119901
55,0.0668873256406377,0.0812467352784594,0.045199592139067,0.102249996681467,0.059285423547572,0.0730210853507758,0.03928550942193,0.0920792016455035,0.0637568773608505,0.0770559897725884,0.043383411002986,0.0966898425256424,0.0529360639728643,0.065442411004329,0.0348863748451229,0.0834131945302059,0.0491926223459437,0.0611174867094354,0.0321984415804457,0.0782209227041195,0.0536338205568718,0.0686020010116223,0.0338361241328661,0.0877459037186705,0.0521733001812416,0.0623270458760001,0.0360696313078175,0.0785551781757423,0.0392116488196376,0.0517957079634087,0.0237720207936593,0.0680452669814632,0.0415323669399885,0.0545648393292249,0.0253429387136803,0.0712693300088275,0.0516129543355949,0.0650818662486406,0.0331395821635215,0.083669124653727,0.0766363567477457,0.0765321082983091,0.080154595866241,0.0293107930048493,0.0242004069285507,0.0226318271337827,0.0203263250186007,0.0174616551491657,0.104864579299291,0.0643125319129764,0.0683355049670935,0.0824211556195798,0.0527991975651752,0.0874502126912976,0.0775576229792059,0.0713114392067425,0.0636307881018093,0.0402614159681936,0.099072938545176,0.0516019623281449,0.101841266752609,0.0527202245689079,0.0730611083774913
60,0.0571942734836783,0.0694727730951318,0.038649442317991,0.0733303355934805,0.0510409956322228,0.0628665306820053,0.033822335994705,0.0664881746000712,0.0541038866638303,0.0653894718499083,0.0368150268513183,0.0688167143436484,0.0492380730817405,0.0608707556596618,0.0324492934544904,0.0650722480013307,0.0451990621003141,0.0561558409667233,0.029584504568456,0.0602787221979877,0.042104099135444,0.0538545533675038,0.0265623352962286,0.0577728976244213,0.0496133687916546,0.059268911531346,0.0342998413755159,0.062652280063469,0.0310425646144047,0.0410049477541407,0.01881952209907,0.0451806074705521,0.0339046300727741,0.0445435892230957,0.0206885141722326,0.0487962736406525,0.0495210362610291,0.0624440414218198,0.0317964059821957,0.0673298868599037,0.105042055012503,0.114944775681752,0.104957150058814,0.0460143595995088,0.0389919367861257,0.0375107486616183,0.0339109749579955,0.0264790156750379,0.0948672431662857,0.0463051030726565,0.0519528105367117,0.0649339184710909,0.0389430745637937,0.0766259311765114,0.0564181207100934,0.0570014463912963,0.0470714504753143,0.0245365950884849,0.0772895786639602,0.040942402035007,0.0771288886726822,0.0343002272423473,0.057904262553471
65,0.0414707558752971,0.0575699676113365,0.0192165682466377,0.0607666119684653,0.0364868060500098,0.0513603709806545,0.0165791975979132,0.0543191627761264,0.0422845208894858,0.0584053628017995,0.0197297357416621,0.0614665488856402,0.041112969035452,0.0580869311888718,0.0185791668487623,0.0620962751488126,0.0367320134403797,0.0521557498710303,0.0164862852422966,0.0559849501562368,0.0352420603061492,0.0515170855504816,0.0152456646390323,0.0552653605556116,0.0485252935436422,0.0662503768092557,0.023004074381462,0.0700322826068538,0.0219348090186257,0.0331134532390106,0.0091185976201394,0.0364854978417854,0.0232763305668577,0.0349488316464034,0.00973930585429377,0.0382854813045637,0.0373559076410594,0.0538334879237386,0.0164471555506595,0.0580456128182755,0.117644919299841,0.187078486951422,0.12656696353554,0.0715156458682538,0.0611792315724882,0.0627111591911459,0.0547437988815107,0.0429630878139221,0.0972669620051979,0.033281605110081,0.041170856398297,0.0555138603666305,0.0356514984999611,0.064933339408808,0.0385446213579592,0.0431407700633117,0.0345643317124458,0.0147911924218742,0.0630054082500481,0.0391708557931076,0.0503733612239438,0.0207726239807512,0.0439199971451965
70,0.0329622780970381,0.0457584445325414,0.0152739407142973,0.0464415762673083,0.0334905898720545,0.0471427703984852,0.0152177503944419,0.0479409545444582,0.0406141524239454,0.05609817156041,0.0189503505736841,0.0567677224908929,0.03820779733734,0.0539823259395021,0.0172663044851373,0.0554888048512337,0.0393410892581217,0.0558603740666405,0.0176573064883791,0.0576553485983151,0.0213637848901728,0.0312297273288838,0.00924194263974884,0.0322134007067379,0.0528583139069934,0.0721661417811052,0.0250582015274477,0.0733516820128335,0.0154611224135944,0.0233405795158938,0.00642739829307706,0.0247282907542148,0.0166359850113748,0.0249785178881449,0.00696084572900526,0.026310843776989,0.0300936148998518,0.0433678193516078,0.0132496945354764,0.0449625700531639,0.119924982950671,0.169973609617828,0.134363972441606,0.105846024219499,0.0869406078091527,0.108035838118221,0.0959763028374418,0.0831956851508512,0.0569015421327501,0.0265065427859152,0.0336488426713585,0.0584053377172846,0.0328035066691532,0.0660886732568533,0.032337226555895,0.0331193960955947,0.026394182327945,0.00903206856399555,0.0664354886454941,0.0365968142450487,0.0355605283000512,0.0146237134072984,0.0354229356327235
75,0.0312751230678315,0.0434163251682646,0.014492152944166,0.0440644912025866,0.027519308028179,0.0387373415892017,0.0125044665441988,0.0393932116547979,0.0315773485032749,0.0436161142861906,0.0147338252458926,0.0441366875792599,0.0238996949774501,0.0337669589465326,0.0108003978072631,0.0347092898054005,0.0299927958473238,0.0425867414179441,0.0134615486939079,0.0439551911913206,0.0126161821990857,0.0184424216979549,0.0054577422875197,0.019023320757892,0.0408747665502015,0.0558053025172479,0.0193772381654954,0.0567220680480787,0.0103122013747213,0.0155676120873966,0.00428692198022261,0.0164931825186188,0.0109418856582504,0.0164289692770081,0.0045783148998643,0.0173052719140501,0.0203932758427715,0.0293886894505711,0.00897880418798619,0.0304693901595261,0.135974085019323,0.134981917701104,0.125021004873131,0.118466695947581,0.134770860470874,0.152963856758481,0.14181270718425,0.131535479521321,0.0308045997595804,0.0179864038205465,0.0328521158905497,0.060078032622438,0.0285595824152347,0.0679432544983709,0.0293605705197122,0.0244491475141436,0.0178078591142069,0.0064304971309283,0.0794885891092598,0.0338259342256678,0.0285797679566074,0.0105066167624648,0.0262073984647389
80,0.0280208978798417,0.0388987890221689,0.0129842218950437,0.0394795123727222,0.0195754066617078,0.0275551701309361,0.00889484639075094,0.0280217125032276,0.0275693718322332,0.0380801089904195,0.0128637243457294,0.0385346081603251,0.0196516938068704,0.0277651216315739,0.00888070374542384,0.0285399598678238,0.0188129750062276,0.0267125247666415,0.00844375364046637,0.0275708846046127,0.00769073868355764,0.0112423745736031,0.00332700250148242,0.01159648668145,0.0309196116544662,0.0422137770493225,0.0146578617954276,0.0429072619688431,0.00672099718040205,0.0101462212715773,0.00279400968762196,0.0107494635893386,0.00726050017077911,0.0109014604947457,0.00303794584869207,0.0114829320659735,0.0135452999292402,0.019520091632379,0.00596375965636239,0.0202378976067304,0.138379177085701,0.100772163033917,0.125525121828264,0.172826116185474,0.218029733773993,0.209325677512413,0.186066739090188,0.190342154053599,0.017964313136446,0.0139015428359748,0.0396487762774601,0.0711481816468469,0.0239807068016853,0.0739716016981236,0.0317160349711874,0.0185868170611056,0.0146975073378017,0.00604235945744651,0.115833345080184,0.0305099630549331,0.0332498236567511,0.00858174040903632,0.015614971434373
85,0.0140577537983063,0.0195150634169828,0.00651403090100171,0.0198064054689761,0.0157886900964452,0.0222248277785826,0.00717420463063824,0.0226011210050921,0.0167311176048911,0.0231098040899458,0.00780665175017394,0.0233856275330511,0.0144196370456819,0.0203729500566784,0.00651630978875063,0.0209414957629999,0.0112777291761608,0.0160132366002691,0.00506173886670658,0.0165277936963758,0.00360348328357199,0.00526759658734019,0.00155886168959627,0.00543351524790593,0.0210241237066978,0.0287037133819798,0.00996677135232505,0.0291752559388418,0.00362615860264003,0.00547415905120472,0.00150744331424104,0.00579962449350621,0.00368237560922733,0.00552899542546244,0.00154078333892204,0.00582390578714329,0.00819926025133573,0.0118159296774445,0.00360999149183659,0.0122504330125066,0.0680465257255437,0.0630436907438178,0.08694337086204,0.199963249464428,0.187445500640536,0.199439682671771,0.225475846988427,0.224456430136525,0.00905043215085994,0.00831289234188685,0.02702729619148,0.0650744297304719,0.0194072628318055,0.0842201326185282,0.0328218825812274,0.012012158758933,0.0083672843562448,0.0032414740839427,0.124145416613806,0.024756223123978,0.0447303772529374,0.00743216147573859,0.00390399416172563
90,0.00651836358966889,0.00904883387861481,0.00302045564720185,0.00918392469405369,0.00716040556684212,0.0100792896418747,0.00325360840329955,0.0102499442115322,0.00766037873055601,0.010580874266653,0.00357429255092966,0.0107071606323848,0.00720973177605051,0.0101863524671386,0.00325811569304467,0.0104706218999972,0.00536341022660928,0.00761550092234389,0.00240723833477987,0.00786021160375187,0.00109553676562002,0.00160146316043551,0.00047392763031674,0.00165190601765115,0.0103420953139059,0.0141198056005016,0.00490281072998128,0.0143517647601633,0.00150564323811695,0.00227296471638675,0.000625916315761586,0.0024081035495545,0.00160057255142334,0.00240321989227962,0.000669713191068659,0.00253140492284899,0.00430001295666997,0.00619673594332314,0.00189322081657755,0.00642460649666712,0.0379442297491854,0.0273678037337504,0.0443286842547471,0.144124844258401,0.150391318857586,0.127208676597043,0.146147639191139,0.172577111073656,0.00331304466566231,0.00367036773760775,0.0177674221739022,0.0421768981772941,0.011895299636623,0.0536925755853642,0.0233593353702148,0.0152951077324738,0.00354842949139177,0.0016469625604498,0.0858600809123074,0.0139906728847435,0.0326903899010044,0.00532014436572641,0
95,0.00192120316715079,0.00266702648102808,0.000890240146290683,0.00270684274762688,0.00190131251614445,0.00267636789160159,0.00086393519502198,0.00272168203843281,0.00226499650507012,0.00312851936927875,0.00105683549348039,0.00316585932165988,0.00238800902028135,0.00337392601151904,0.00107915383065374,0.0034680817985778,0.00165070384566666,0.00234383277207165,0.000740878920083919,0.00241914770153048,0.000261350525791907,0.000382043991722463,0.000113059861848172,0.00039407760635729,0.00345249998708351,0.00471361239417378,0.00163670450408376,0.00479104728250433,0.000457492669352002,0.000690644814865447,0.000190185907816295,0.00073170701602563,0.000488017227024586,0.000732745733217578,0.000204196663323054,0.000771829561756868,0.00151725257479773,0.00218650819429852,0.000668019884488322,0.00226691194825592,0.0325111767826021,0.0122177695239957,0.0121996303142329,0.076629348439895,0.0735808635928131,0.0564533577431971,0.0687685789037967,0.0874936794201921,0.001188666700991,0.00096815210100019,0.00723486011635531,0.0193957466019948,0.00522162011446284,0.0251392639335264,0.0109083774059871,0.00240256870612495,4.38077714986639e-05,1.04902073914144e-05,0.00490548483951452,0.000787353885288598,0.00274852236518867,0.00040101590696431,0
